DIAMD_NO,STOCK_NO,PARENT_ITEM_NO_ALT,BOUNCE_USE_ITEM,FULL_TITLE,MAIN_DESC,VARIANT_DESC,SERIES_CODE,ISSUE_NO,ISSUE_SEQ_NO,VOLUME_TAG,MAX_ISSUE,PRICE,PUBLISHER,UPC_NO,SHORT_ISBN_NO,EAN_NO,CARDS_PER_PACK,PACK_PER_BOX,BOX_PER_CASE,DISCOUNT_CODE,INCREMENT,PRNT_DATE,FOC_VENDOR,SHIP_DATE,SRP,CATEGORY,GENRE,BRAND_CODE,MATURE,ADULT,OA,CAUT1,CAUT2,CAUT3,RESOL,NOTE_PRICE,ORDER_FORM_NOTES,PAGE,WRITER,ARTIST,COVER_ARTIST,COLORIST,ALLIANCE_SKU,FOC_DATE,OFFERED_DATE,NUMBER_OF_PAGES,UNIT_WEIGHT,UNIT_LENGTH,UNIT_WIDTH,UNIT_HEIGHT,CASE_WEIGHT,CASE_LENGTH,CASE_WIDTH,CASE_HEIGHT
NOV200001,STL172663,,,PREVIEWS #388 JANUARY 2021 (Net),PREVIEWS #388 JANUARY 2021,,15163,388,0,,,2.4,DIAMOND PUBLICATIONS,60325923600033001,,,0,0,0,J,1,12/7/2020,N,12/30/2020,3.99,14,,,N,N,N,0,0,0,N,N,"(NOTE: Retailers ordering 20 or more will be billed at these rates: 20-39 @ $2.30 ea., 40-79 @ $2.20, 80+ @ $2.13.)",24,,,,, ,12/7/2020,,480,0,0,0,0,0,0,0,0
NOV200002,STL172664,,,MARVEL PREVIEWS VOL 05 #7 JANUARY 2021 EXTRAS (Net),MARVEL PREVIEWS VOL 05 #7 JANUARY 2021 EXTRAS,,16776,208,0,,,0.75,MARVEL COMICS,75960609805700711,,,0,0,0,J4,1,12/7/2020,Y,12/30/2020,1.25,13,XX,XX,N,N,N,0,0,0,N,N,(NOTE: You will receive free copies of Marvel Previews in quantities equal to your Previews Order. Order additional copies with this item code.),25,,,,, ,12/7/2020,,120,0,10,6.4,0.4,0,0,0,0
NOV200003,STL172659,,,PREVIEWS #388 JAN 2021 CUSTOMER ORDER FORM (Net),PREVIEWS #388 JAN 2021 CUSTOMER ORDER FORM,,15165,388,0,,,0.15,DIAMOND PUBLICATIONS, ,,,0,0,0,J,1,12/7/2020,N,12/30/2020,0,14,XX,XX,N,N,N,0,0,0,N,N,(NOTE: You may order free copies of the Customer Order Form in quantities equal to your Previews Order with this item code.) SAME UPC OK FOR OF & OF EXTRAS,25,,,,, ,12/7/2020,,48,0,0,0,0,0,0,0,0
NOV200004,STL172660,,,PREVIEWS #388 JAN 2021 CUSTOMER ORDER FORM EXTRAS (Net),PREVIEWS #388 JAN 2021 CUSTOMER ORDER FORM EXTRAS,,15166,388,0,,,0.3,DIAMOND PUBLICATIONS,60325923601733001,,,0,0,0,J,1,12/7/2020,N,12/30/2020,0,14,XX,XX,N,N,N,0,0,0,N,N,(NOTE: You may order additional copies of the Customer Order Form with this item code.),25,,,,, ,12/7/2020,,48,0,0,0,0,0,0,0,0
NOV200005,STL172661,,,PREVIEWS #388 JAN 2021 RET ORD FORM FREE EXTRAS (LIM 1) (Net,PREVIEWS #388 JAN 2021 RET ORD FORM FREE EXTRAS (LIM 1),,15169,388,0,,,0,DIAMOND PUBLICATIONS, ,,,0,0,0,J,1,12/7/2020,N,12/30/2020,0,14,XX,XX,N,N,N,0,0,0,N,N,(NOTE: You may order one free copy of the Retailer Order Form with this item code.),25,,,,, ,12/7/2020,,96,0,0,0,0,0,0,0,0
NOV200006,STL172662,,,PREVIEWS #388 JAN 2021 RETAILER ORDER FORM EXTRAS (Net),PREVIEWS #388 JAN 2021 RETAILER ORDER FORM EXTRAS,,15170,388,0,,,1.25,DIAMOND PUBLICATIONS,60325923603133001,,,0,0,0,J,1,12/7/2020,N,12/30/2020,0,14,XX,XX,N,N,N,0,0,0,N,N,(NOTE: You may order additional copies of the Retailer Order Form with this item code.),25,,,,, ,12/7/2020,,96,0,0,0,0,0,0,0,0
NOV200007,STL172657,,,GAME TRADE MAGAZINE #251 (Net),GAME TRADE MAGAZINE,,18545,251,1,VOL,,0,DIAMOND PUBLICATIONS, ,,,0,0,0,J,1,12/7/2020,N,12/30/2020,0,14,GA,XX,N,N,N,0,0,0,N,N,(NOTE: You may order up to six free copies of Game Trade with this item code.),25,na,na,na,, ,12/7/2020,,0,0,0,0,0,0,0,0,0
NOV200008,STL172658,,,GAME TRADE MAGAZINE EXTRAS #251 (Net),GAME TRADE MAGAZINE EXTRAS,,18545,251,0,VOL,,0.5,DIAMOND PUBLICATIONS,60325923905633001,,,0,0,0,J,1,12/7/2020,N,12/30/2020,3.99,14,GA,XX,N,N,N,0,0,0,N,N,(NOTE: You may order additional copies of Game Trade with this item code.),25,na,na,na,, ,12/7/2020,,0,0,0,0,0,0,0,0,0
NOV200009,STL174066,,,HAHA #1 CVR A DEL REY (MR),HAHA,CVR A DEL REY,144536,1,0,,,3.99,IMAGE COMICS,70985303057700111,,,0,0,0,D2,1,12/14/2020,Y,1/13/2021,3.99,1,LT,IC,Y,N,N,0,0,0,N,N,(NOTE: Image No Risk #1 title! Please see Image Vendor Tools page for more information.),30,"Price, W. Maxwell","Del Rey, Vanesa R.","Del Rey, Vanesa R.",, ,12/14/2020,,32,0,0,0,0,0,0,0,0
NOV200010,STL174067,,,HAHA #1 CVR B MALAVIA (MR),HAHA,CVR B MALAVIA,144536,1,1,,,3.99,IMAGE COMICS,70985303057700121,,,0,0,0,D2,1,12/14/2020,Y,1/13/2021,3.99,1,LT,IC,Y,N,N,0,0,0,N,N,(NOTE: Image No Risk #1 title! Please see Image Vendor Tools page for more information.),30,"Price, W. Maxwell","Del Rey, Vanesa R.","Malavia, Nimit",, ,12/14/2020,,32,0,0,0,0,0,0,0,0
NOV200011,STL074454,APR180546,,ICE CREAM MAN TP VOL 01 RAINBOW SPRINKLES,ICE CREAM MAN TP,RAINBOW SPRINKLES,139619,1,0,VOL,,16.99,IMAGE COMICS, ,1534306757,978153430675251699,0,0,48,D2,6,10/8/2020,Y,12/16/2020,16.99,3,FA,IC,N,N,Y,0,0,0,N,N,,30,"Prince, W. Maxwell","Morazzo, Martin","Morazzo, Martin",, ,,,128,0.7,10,6.5,0.5,34.3,13.8,10.6,7
NOV200012,STL082739,OCT180089,,ICE CREAM MAN TP VOL 02 STRANGE NEAPOLITAN (MR),ICE CREAM MAN TP,STRANGE NEAPOLITAN,139619,2,0,VOL,,16.99,IMAGE COMICS, ,1534308768,978153430876351699,0,0,50,D2,1,10/8/2020,Y,12/9/2020,16.99,3,FA,IC,Y,N,Y,0,0,0,N,N,,30,"Prince, W. Maxwell","Morazzo, Martin","Morazzo, Martin",, ,,,128,0.7,10,6.5,0.6,35.03,13.7,10.7,7.1
NOV200013,STL107310,APR190070,,ICE CREAM MAN TP VOL 03 HOPSCOTCH MELANGE (MR),ICE CREAM MAN TP,HOPSCOTCH MELANGE,139619,3,0,VOL,,16.99,IMAGE COMICS, ,1534312269,978153431226551699,0,0,50,D2,1,10/8/2020,Y,12/16/2020,16.99,3,FA,IC,Y,N,Y,0,0,0,N,N,,30,"Prince, W. Maxwell","Morazzo, Martin","Morazzo, Martin",, ,,,128,0.6,10.3,6.9,1.3,30.23,14,11.1,7.7
NOV200014,STL120036,OCT190104,,ICE CREAM MAN TP VOL 04 TINY LIVES (MR),ICE CREAM MAN TP,TINY LIVES,139619,4,0,VOL,,16.99,IMAGE COMICS, ,1534313761,978153431376751699,0,0,50,D2,1,10/8/2020,Y,12/9/2020,16.99,3,FA,IC,Y,N,Y,0,0,0,N,N,,30,"Prince, W. Maxwell","Morazzo, Martin","Morazzo, Martin",, ,,,128,0.6,10.1,6.5,0.4,30.66,13.6,10.8,7.2
NOV200015,STL144030,JUN200166,,ICE CREAM MAN TP VOL 05 OTHER CONFECTIONS (MR),ICE CREAM MAN TP,OTHER CONFECTIONS,139619,5,0,VOL,,16.99,IMAGE COMICS, ,1534315977,978153431597651699,0,0,50,D2,1,10/8/2020,Y,12/16/2020,16.99,3,FA,IC,Y,N,Y,0,0,0,N,N,,30,"Prince, W. Maxwell","Morazzo, Martin","Morazzo, Martin",, ,,,128,0.6,9.9,6.4,0.4,30.18,13.7,10.6,7.2
NOV200016,STL128093,JUN190252,,IMAGE FIRSTS ICE CREAM MAN #1 (MR),IMAGE FIRSTS ICE CREAM MAN #1,,127030,81,0,VOL,,1,IMAGE COMICS,70985302875800111,,,0,0,250,D2,1,12/4/2020,Y,12/9/2020,1,1,HO,IC,Y,N,Y,0,0,0,N,N,,30,"Prince, W. Maxwell","Morazzo, Martin","Morazzo, Martin",, ,,,32,0.12,10.3,6.6,0.1,31.17,13.8,10.7,7.2
NOV200017,STL021789,SEP160780,,ONE WEEK IN THE LIBRARY GN (MR),ONE WEEK IN THE LIBRARY GN,,0,,0,,,9.99,IMAGE COMICS, ,1534300228,978153430022450999,0,0,68,D2,10,10/8/2020,Y,12/16/2020,9.99,3,FA,IC,Y,N,Y,0,0,0,N,N,,30,"Prince, W. Maxwell","Amor, John","Irving, Frazer",, ,,,96,0.49,10,6.4,0.4,35.19,13.7,10.6,8.3
NOV200018,STL174068,,,RAIN LIKE HAMMERS #1 (OF 5) (MR),RAIN LIKE HAMMERS,,144537,1,0,,5,4.99,IMAGE COMICS,70985303058400111,,,0,0,0,D2,1,12/14/2020,Y,1/20/2021,4.99,1,SF,IC,Y,N,N,0,0,0,N,N,(NOTE: Image No Risk #1 title! Please see Image Vendor Tools page for more information.),34,"Graham, Brandon","Graham, Brandon","Graham, Brandon",, ,12/14/2020,,56,0,0,0,0,0,0,0,0
NOV200019,STL025350,DEC160751,,ARCLIGHT TP (MR),ARCLIGHT TP,,0,,0,,,14.99,IMAGE COMICS, ,153430097X,978153430097251499,0,0,60,D2,7,10/8/2020,Y,12/16/2020,14.99,3,FA,IC,Y,N,Y,0,0,0,N,N,,34,"Graham, Brandon","Churchland, Marian","Churchland, Marian",, ,,,128,0.58,9.9,6.5,0.6,36.24,13.7,10.7,8.2
NOV200020,STK458986,DEC110506,,KING CITY TP (MR),KING CITY TP,,0,,0,,,19.99,IMAGE COMICS, ,160706510X,978160706510451999,0,0,0,D2,6,10/8/2020,Y,12/9/2020,19.99,3,SF,IC,Y,N,Y,0,0,0,N,N,,34,"Graham, Brandon","Graham, Brandon","Graham, Brandon",, ,,,424,2.5,10.3,7.5,1.2,51.65,21.7,16.3,6.7
NOV200021,STK627290,OCT130496,,MULTIPLE WARHEADS TP VOL 01 (MR),MULTIPLE WARHEADS TP,,139647,1,0,VOL,,17.99,IMAGE COMICS, ,1607068400,978160706840251799,0,0,32,D2,10,10/8/2020,Y,12/16/2020,17.99,3,SF,IC,Y,N,Y,0,0,0,N,N,,34,"Graham, Brandon","Graham, Brandon","Graham, Brandon",, ,,,232,1.02,10.1,6.6,0.7,33.57,13.7,10.7,9
